Earth Date,Sol,Month,Min_temp,Max_temp,Pressure,Atmo_opacity,Mean_temp,Season
2018-02-27,1977,5,-77.0,-10.0,727.0,1,-43.5,Spring
2018-02-26,1976,5,-77.0,-10.0,728.0,1,-43.5,Spring
2018-02-25,1975,5,-76.0,-16.0,729.0,1,-46.0,Spring
2018-02-24,1974,5,-77.0,-13.0,729.0,1,-45.0,Spring
2018-02-23,1973,5,-78.0,-18.0,730.0,1,-48.0,Spring
2018-02-22,1972,5,-78.0,-14.0,730.0,1,-46.0,Spring
2018-02-21,1971,5,-78.0,-13.0,731.0,1,-45.5,Spring
2018-02-20,1970,5,-77.0,-16.0,731.0,1,-46.5,Spring
2018-02-19,1969,5,-76.0,-16.0,732.0,1,-46.0,Spring
2018-02-18,1968,5,-76.0,-19.0,732.0,1,-47.5,Spring
2018-02-17,1967,5,-76.0,-15.0,734.0,1,-45.5,Spring
2018-02-16,1966,5,-77.0,-18.0,735.0,1,-47.5,Spring
2018-02-15,1965,5,-76.0,-12.0,735.0,1,-44.0,Spring
2018-02-14,1964,5,-76.0,-16.0,736.0,1,-46.0,Spring
2018-02-13,1963,5,-77.0,-14.0,737.0,1,-45.5,Spring
2018-02-12,1962,5,-78.0,-14.0,738.0,1,-46.0,Spring
2018-02-11,1961,5,-77.0,-21.0,740.0,1,-49.0,Spring
2018-02-09,1960,5,-78.0,-14.0,740.0,1,-46.0,Spring
2018-02-08,1959,5,-78.0,-15.0,740.0,1,-46.5,Spring
2018-02-07,1958,5,-77.0,-14.0,741.0,1,-45.5,Spring
2018-02-06,1957,5,-77.0,-21.0,742.0,1,-49.0,Spring
2018-02-05,1956,5,-79.0,-14.0,744.0,1,-46.5,Spring
2018-02-04,1955,5,-77.0,-21.0,745.0,1,-49.0,Spring
2018-02-03,1954,5,-77.0,-17.0,745.0,1,-47.0,Spring
2018-02-02,1953,5,-78.0,-22.0,747.0,1,-50.0,Spring
2018-02-01,1952,5,-80.0,-25.0,748.0,1,-52.5,Spring
2018-01-31,1951,5,-77.0,-23.0,749.0,1,-50.0,Spring
2018-01-30,1950,5,-79.0,-15.0,750.0,1,-47.0,Spring
2018-01-29,1949,5,-78.0,-20.0,751.0,1,-49.0,Spring
2018-01-28,1948,5,-78.0,-18.0,752.0,1,-48.0,Spring
2018-01-27,1947,5,-78.0,-19.0,751.0,1,-48.5,Spring
2018-01-26,1946,5,-79.0,-20.0,753.0,1,-49.5,Spring
2018-01-25,1945,4,-78.0,-22.0,754.0,1,-50.0,Spring
2018-01-24,1944,4,-80.0,-21.0,755.0,1,-50.5,Spring
2018-01-23,1943,4,-78.0,-28.0,756.0,1,-53.0,Spring
2018-01-22,1942,4,-78.0,-27.0,757.0,1,-52.5,Spring
2018-01-21,1941,4,-77.0,-20.0,758.0,1,-48.5,Spring
2018-01-20,1940,4,-77.0,-19.0,759.0,1,-48.0,Spring
2018-01-19,1939,4,-78.0,-20.0,760.0,1,-49.0,Spring
2018-01-18,1938,4,-78.0,-24.0,762.0,1,-51.0,Spring
2018-01-17,1937,4,-80.0,-22.0,763.0,1,-51.0,Spring
2018-01-16,1936,4,-79.0,-20.0,764.0,1,-49.5,Spring
2018-01-15,1935,4,-80.0,-21.0,765.0,1,-50.5,Spring
2018-01-14,1934,4,-79.0,-21.0,766.0,1,-50.0,Spring
2018-01-13,1933,4,-78.0,-23.0,767.0,1,-50.5,Spring
2018-01-12,1932,4,-79.0,-24.0,768.0,1,-51.5,Spring
2018-01-11,1931,4,-79.0,-22.0,770.0,1,-50.5,Spring
2018-01-10,1930,4,-79.0,-24.0,770.0,1,-51.5,Spring
2018-01-09,1929,4,-79.0,-26.0,771.0,1,-52.5,Spring
2018-01-08,1928,4,-78.0,-24.0,773.0,1,-51.0,Spring
2018-01-07,1927,4,-79.0,-24.0,774.0,1,-51.5,Spring
2018-01-06,1926,4,-80.0,-24.0,775.0,1,-52.0,Spring
2018-01-05,1925,4,-79.0,-19.0,777.0,1,-49.0,Spring
2018-01-03,1924,4,-78.0,-21.0,777.0,1,-49.5,Spring
2018-01-02,1923,4,-77.0,-23.0,778.0,1,-50.0,Spring
2018-01-01,1922,4,-79.0,-24.0,780.0,1,-51.5,Spring
2017-12-31,1921,4,-78.0,-19.0,781.0,1,-48.5,Spring
2017-12-30,1920,4,-77.0,-25.0,782.0,1,-51.0,Spring
2017-12-29,1919,4,-77.0,-26.0,783.0,1,-51.5,Spring
2017-12-28,1918,4,-77.0,-18.0,784.0,1,-47.5,Spring
2017-12-27,1917,4,-80.0,-19.0,786.0,1,-49.5,Spring
2017-12-26,1916,4,-79.0,-22.0,787.0,1,-50.5,Spring
2017-12-25,1915,4,-78.0,-23.0,788.0,1,-50.5,Spring
2017-12-24,1914,4,-78.0,-21.0,790.0,1,-49.5,Spring
2017-12-23,1913,4,-79.0,-27.0,791.0,1,-53.0,Spring
2017-12-22,1912,4,-80.0,-25.0,791.0,1,-52.5,Spring
2017-12-21,1911,4,-79.0,-22.0,792.0,1,-50.5,Spring
2017-12-20,1910,4,-80.0,-23.0,794.0,1,-51.5,Spring
2017-12-19,1909,4,-80.0,-27.0,795.0,1,-53.5,Spring
2017-12-18,1908,4,-79.0,-28.0,796.0,1,-53.5,Spring
2017-12-17,1907,4,-79.0,-29.0,798.0,1,-54.0,Spring
2017-12-16,1906,4,-79.0,-23.0,799.0,1,-51.0,Spring
2017-12-15,1905,4,-80.0,-22.0,800.0,1,-51.0,Spring
2017-12-14,1904,4,-79.0,-27.0,801.0,1,-53.0,Spring
2017-12-13,1903,4,-78.0,-25.0,803.0,1,-51.5,Spring
2017-12-12,1902,4,-79.0,-27.0,804.0,1,-53.0,Spring
2017-12-11,1901,4,-81.0,-28.0,806.0,1,-54.5,Spring
2017-12-10,1900,4,-81.0,-25.0,807.0,1,-53.0,Spring
2017-12-09,1899,4,-81.0,-23.0,808.0,1,-52.0,Spring
2017-12-08,1898,4,-81.0,-27.0,810.0,1,-54.0,Spring
2017-12-07,1897,4,-80.0,-27.0,811.0,1,-53.5,Spring
2017-12-06,1896,4,-79.0,-23.0,812.0,1,-51.0,Spring
2017-12-05,1895,4,-78.0,-29.0,814.0,1,-53.5,Spring
2017-12-04,1894,4,-79.0,-28.0,815.0,1,-53.5,Spring
2017-12-03,1893,4,-79.0,-25.0,816.0,1,-52.0,Spring
2017-12-02,1892,4,-81.0,-29.0,817.0,1,-55.0,Spring
2017-12-01,1891,4,-80.0,-25.0,819.0,1,-52.5,Spring
2017-11-30,1890,4,-79.0,-28.0,821.0,1,-53.5,Spring
2017-11-29,1889,4,-80.0,-28.0,822.0,1,-54.0,Spring
2017-11-27,1888,4,-79.0,-25.0,823.0,1,-52.0,Spring
2017-11-26,1887,4,-79.0,-26.0,824.0,1,-52.5,Spring
2017-11-25,1886,4,-79.0,-27.0,826.0,1,-53.0,Spring
2017-11-24,1885,4,-79.0,-30.0,827.0,1,-54.5,Spring
2017-11-23,1884,4,-79.0,-29.0,829.0,1,-54.0,Spring
2017-11-22,1883,4,-78.0,-28.0,830.0,1,-53.0,Spring
2017-11-21,1882,4,-78.0,-31.0,831.0,1,-54.5,Spring
2017-11-20,1881,4,-79.0,-28.0,832.0,1,-53.5,Spring
2017-11-19,1880,3,-79.0,-30.0,833.0,1,-54.5,Winter
2017-11-18,1879,3,-79.0,-31.0,834.0,1,-55.0,Winter
2017-11-17,1878,3,-79.0,-29.0,835.0,1,-54.0,Winter
2017-11-16,1877,3,-79.0,-30.0,837.0,1,-54.5,Winter
2017-11-15,1876,3,-79.0,-29.0,838.0,1,-54.0,Winter
2017-11-14,1875,3,-79.0,-23.0,839.0,1,-51.0,Winter
2017-11-13,1874,3,-80.0,-29.0,840.0,1,-54.5,Winter
2017-11-12,1873,3,-79.0,-25.0,842.0,1,-52.0,Winter
2017-11-11,1872,3,-79.0,-29.0,843.0,1,-54.0,Winter
2017-11-10,1871,3,-80.0,-30.0,844.0,1,-55.0,Winter
2017-11-09,1870,3,-81.0,-29.0,845.0,1,-55.0,Winter
2017-11-08,1869,3,-81.0,-24.0,846.0,1,-52.5,Winter
2017-11-07,1868,3,-80.0,-24.0,848.0,1,-52.0,Winter
2017-11-06,1867,3,-78.0,-24.0,848.0,1,-51.0,Winter
2017-11-05,1866,3,-80.0,-28.0,850.0,1,-54.0,Winter
2017-11-04,1865,3,-80.0,-31.0,852.0,1,-55.5,Winter
2017-11-03,1864,3,-82.0,-22.0,852.0,1,-52.0,Winter
2017-11-02,1863,3,-80.0,-30.0,853.0,1,-55.0,Winter
2017-11-01,1862,3,-81.0,-30.0,854.0,1,-55.5,Winter
2017-10-31,1861,3,-79.0,-29.0,855.0,1,-54.0,Winter
2017-10-30,1860,3,-80.0,-31.0,857.0,1,-55.5,Winter
2017-10-29,1859,3,-79.0,-30.0,857.0,1,-54.5,Winter
2017-10-28,1858,3,-81.0,-28.0,857.0,1,-54.5,Winter
2017-10-27,1857,3,-80.0,-30.0,858.0,1,-55.0,Winter
2017-10-26,1856,3,-80.0,-28.0,859.0,1,-54.0,Winter
2017-10-25,1855,3,-78.0,-32.0,861.0,1,-55.0,Winter
2017-10-24,1854,3,-80.0,-26.0,861.0,1,-53.0,Winter
2017-10-23,1853,3,-80.0,-32.0,862.0,1,-56.0,Winter
2017-10-22,1852,3,-80.0,-31.0,863.0,1,-55.5,Winter
2017-10-20,1851,3,-87.0,-30.0,864.0,1,-58.5,Winter
2017-10-19,1850,3,-80.0,-30.0,864.0,1,-55.0,Winter
2017-10-18,1849,3,-80.0,-24.0,864.0,1,-52.0,Winter
2017-10-17,1848,3,-80.0,-28.0,865.0,1,-54.0,Winter
2017-10-16,1847,3,-80.0,-30.0,866.0,1,-55.0,Winter
2017-10-15,1846,3,-80.0,-30.0,868.0,1,-55.0,Winter
2017-10-14,1845,3,-80.0,-29.0,868.0,1,-54.5,Winter
2017-10-13,1844,3,-81.0,-28.0,869.0,1,-54.5,Winter
2017-10-12,1843,3,-80.0,-29.0,869.0,1,-54.5,Winter
2017-10-11,1842,3,-79.0,-27.0,869.0,1,-53.0,Winter
2017-10-10,1841,3,-77.0,-32.0,870.0,1,-54.5,Winter
2017-10-09,1840,3,-77.0,-29.0,871.0,1,-53.0,Winter
2017-10-08,1839,3,-80.0,-30.0,872.0,1,-55.0,Winter
2017-10-07,1838,3,-79.0,-27.0,872.0,1,-53.0,Winter
2017-10-06,1837,3,-81.0,-28.0,872.0,1,-54.5,Winter
2017-10-05,1836,3,-81.0,-29.0,873.0,1,-55.0,Winter
2017-10-04,1835,3,-80.0,-31.0,873.0,1,-55.5,Winter
2017-10-03,1834,3,-80.0,-25.0,875.0,1,-52.5,Winter
2017-10-02,1833,3,-81.0,-30.0,875.0,1,-55.5,Winter
2017-10-01,1832,3,-84.0,-30.0,875.0,1,-57.0,Winter
2017-09-30,1831,3,-80.0,-26.0,876.0,1,-53.0,Winter
2017-09-29,1830,3,-80.0,-23.0,877.0,1,-51.5,Winter
2017-09-28,1829,3,-78.0,-29.0,877.0,1,-53.5,Winter
2017-09-27,1828,3,-80.0,-27.0,878.0,1,-53.5,Winter
2017-09-26,1827,3,-80.0,-28.0,879.0,1,-54.0,Winter
2017-09-25,1826,3,-80.0,-26.0,878.0,1,-53.0,Winter
2017-09-24,1825,3,-80.0,-27.0,878.0,1,-53.5,Winter
2017-09-23,1824,3,-80.0,-28.0,879.0,1,-54.0,Winter
2017-09-22,1823,3,-80.0,-28.0,879.0,1,-54.0,Winter
2017-09-21,1822,3,-78.0,-27.0,881.0,1,-52.5,Winter
2017-09-20,1821,3,-81.0,-29.0,882.0,1,-55.0,Winter
2017-09-19,1820,3,-79.0,-29.0,881.0,1,-54.0,Winter
2017-09-18,1819,3,-82.0,-28.0,880.0,1,-55.0,Winter
2017-09-17,1818,3,-81.0,-25.0,881.0,1,-53.0,Winter
2017-09-16,1817,3,-80.0,-29.0,882.0,1,-54.5,Winter
2017-09-15,1816,3,-82.0,-30.0,882.0,1,-56.0,Winter
2017-09-13,1815,3,-81.0,-29.0,881.0,1,-55.0,Winter
2017-09-12,1814,2,-80.0,-26.0,881.0,1,-53.0,Winter
2017-09-11,1813,2,-80.0,-27.0,881.0,1,-53.5,Winter
2017-09-10,1812,2,-79.0,-23.0,882.0,1,-51.0,Winter
