,Earth_day,Sol,Month,Max_temp,Min_temp,Pressure,Atmo_opacity
0,2022-10-19,3627,Mes 11,-9,-67,803,Soleado
1,2022-10-18,3626,Mes 11,-12,-67,804,Soleado
2,2022-10-17,3625,Mes 11,-11,-67,804,Soleado
3,2022-10-16,3624,Mes 11,-12,-67,806,Soleado
4,2022-10-15,3623,Mes 11,-12,-67,808,Soleado
5,2022-10-14,3622,Mes 11,-12,-66,809,Soleado
6,2022-10-13,3621,Mes 11,-10,-68,808,Soleado
7,2022-10-12,3620,Mes 11,-12,-65,806,Soleado
8,2022-10-11,3619,Mes 11,-9,-66,806,Soleado
9,2022-10-10,3618,Mes 11,-10,-66,807,Soleado
10,2022-10-09,3617,Mes 11,-10,-70,809,Soleado
11,2022-10-08,3616,Mes 11,-10,-67,809,Soleado
12,2022-10-07,3615,Mes 11,-12,-69,810,Soleado
13,2022-10-06,3614,Mes 11,-14,-67,811,Soleado
14,2022-10-05,3613,Mes 11,-9,-66,812,Soleado
15,2022-10-04,3612,Mes 11,-11,-69,816,Soleado
16,2022-10-03,3611,Mes 11,-15,-69,817,Soleado
17,2022-10-02,3610,Mes 11,-14,-66,817,Soleado
18,2022-10-01,3609,Mes 11,-9,-67,812,Soleado
19,2022-09-30,3608,Mes 11,-11,-67,811,Soleado
20,2022-09-29,3607,Mes 11,-7,-68,813,Soleado
21,2022-09-28,3606,Mes 11,-7,-68,815,Soleado
22,2022-09-27,3605,Mes 11,-6,-69,816,Soleado
23,2022-09-26,3604,Mes 11,-3,-69,817,Soleado
24,2022-09-25,3603,Mes 11,-7,-70,820,Soleado
25,2022-09-24,3602,Mes 11,-6,-71,818,Soleado
26,2022-09-23,3601,Mes 11,-5,-70,823,Soleado
27,2022-09-22,3600,Mes 11,-4,-70,822,Soleado
28,2022-09-21,3599,Mes 11,-8,-69,827,Soleado
29,2022-09-20,3598,Mes 11,-4,-68,824,Soleado
30,2022-09-18,3597,Mes 11,-6,-70,820,Soleado
31,2022-09-17,3596,Mes 11,-3,-69,824,Soleado
32,2022-09-16,3595,Mes 11,-1,-69,821,Soleado
33,2022-09-15,3594,Mes 11,0,-71,826,Soleado
34,2022-09-14,3593,Mes 11,-5,-69,828,Soleado
35,2022-09-13,3592,Mes 11,-6,-69,829,Soleado
36,2022-09-12,3591,Mes 11,-7,-69,826,Soleado
37,2022-09-11,3590,Mes 11,-8,-69,826,Soleado
38,2022-09-10,3589,Mes 11,-6,-57,809,Soleado
39,2022-09-04,3583,Mes 10,-7,-70,831,Soleado
40,2022-09-03,3582,Mes 10,-9,-69,833,Soleado
41,2022-09-02,3581,Mes 10,-7,-73,833,Soleado
42,2022-09-01,3580,Mes 10,-10,-69,838,Soleado
43,2022-08-31,3579,Mes 10,-2,-71,836,Soleado
44,2022-08-30,3578,Mes 10,0,-69,836,Soleado
45,2022-08-29,3577,Mes 10,2,-69,836,Soleado
46,2022-08-26,3574,Mes 10,0,-69,838,Soleado
47,2022-08-25,3573,Mes 10,-4,-68,839,Soleado
48,2022-08-24,3572,Mes 10,-3,-69,840,Soleado
49,2022-08-23,3571,Mes 10,2,-70,843,Soleado
50,2022-08-22,3570,Mes 10,-1,-69,841,Soleado
51,2022-08-21,3569,Mes 10,1,-68,842,Soleado
52,2022-08-20,3568,Mes 10,-4,-71,843,Soleado
53,2022-08-19,3567,Mes 10,-2,-68,843,Soleado
54,2022-08-18,3566,Mes 10,-15,-69,864,Soleado
55,2022-08-17,3565,Mes 10,2,-69,847,Soleado
56,2022-08-16,3564,Mes 10,-7,-70,851,Soleado
57,2022-08-15,3563,Mes 10,-6,-69,851,Soleado
58,2022-08-14,3562,Mes 10,-3,-70,850,Soleado
